code,description,name,address,city,state,zip,phone,fax,person,business indicator,women business indicator,local business indicator,over million dollar revenue indicator,date
03300  ,CAST-IN PLACE CONCRETE                                                                    ,"CRUZ CONCRETE AND GUNITING REPAIR, INC.",1405 Winesap Drive,Manasquan                     ,NJ,08736          ,732-223-2206                  ,,Warren Cruz                   ,Y,N,N,N,03/24/2019
03500  ,CEMENTITIOUS                                                                              ,"CRUZ CONCRETE AND GUNITING REPAIR, INC.",1405 Winesap Drive,Manasquan                     ,NJ,08736          ,732-223-2206                  ,,Warren Cruz                   ,Y,N,N,N,03/24/2019
05120  ,STRUCTURAL STEEL                                                                          ,Crystal Steel Fabricators Inc,9317 Old Racetrack Road,Delmar                        ,DE,19940          ,703-868-6853                  ,,William Lo                    ,Y,N,N,Y,01/13/2019
05500  ,METAL FABRICATIONS                                                                        ,Crystal Steel Fabricators Inc,9317 Old Racetrack Road,Delmar                        ,DE,19940          ,703-868-6853                  ,,William Lo                    ,Y,N,N,Y,01/13/2019
05700  ,ORNAMENTAL METAL                                                                          ,Crystal Steel Fabricators Inc,9317 Old Racetrack Road,Delmar                        ,DE,19940          ,703-868-6853                  ,,William Lo                    ,Y,N,N,Y,01/13/2019
33000  ,ARCH & ENG - FULL SERVICE FIRM                                                            ,"CSA GROUP NY ARCHITECTS and ENGINEERS, P.C.",55 Broadway,New York                      ,NY,10006-3729     ,212-388-8807                  ,212-677-0777   ,Brandie Molina                ,Y,N,N,Y,01/23/2021
14400  ,LIFTS                                                                                     ,"CSSI Holdings, LLC",21 Stringham Avenue,Valley Stream                 ,NY,11580          ,516-568-3010                  ,,Chung H Lee                   ,Y,N,N,N,12/14/2018
13285  ,HAZMAT REMED - ASBESTOS ABTMNT & REM                                                      ,CST Environmental LLC,4017 23rd Street,Long Island City              ,NY,11101          ,646-406-2735                  ,,Flor Cordero                  ,N,Y,N,N,01/27/2020
31015  ,ARCHITECTURAL - FULL SERVICE FIRM                                                         ,CTA Architects P.C.,151 West 26th Street,New York                      ,NY,10001-6801     ,212-243-7404                  ,,Craig Tooman                  ,N,N,N,Y,09/12/2020
80025  ,CLEANING/MAINTENANCE                                                                      ,CTE INCORPORATED,450  WESTBURY AVENUE,CARLE PLACE                   ,NY,11514          ,516-326-8700                  ,516-807-1137   ,ROBERT G. KLEBER              ,N,N,N,Y,04/18/2019
15810  ,DUCT CLEANING                                                                             ,"Cunningham Duct Cleaning Co., Inc.",869 Sylvan Avenue,Bayport                       ,NY,11705          ,631-665-6400                  ,516-991-8397   ,Marlon N. Juarbe              ,N,N,N,N,07/23/2018
31015  ,ARCHITECTURAL - FULL SERVICE FIRM                                                         ,"Curtis & Ginsberg Architects, LLP",299 Broadway,New York                      ,NY,10007          ,212-929-4417                  ,,Roberta D. Curtis             ,N,Y,N,Y,08/11/2019
06100  ,ROUGH CARPENTRY                                                                           ,CURTIS PARTITION CORPORATION,505 Eighth Avenue,New York                      ,NY,10018          ,646-315-6719                  ,917-578-0857   ,Ajay Narula                   ,Y,N,N,Y,09/02/2019
06200  ,FINISH CARPENTRY                                                                          ,CURTIS PARTITION CORPORATION,505 Eighth Avenue,New York                      ,NY,10018          ,646-315-6719                  ,917-578-0857   ,Ajay Narula                   ,Y,N,N,Y,09/02/2019
08100  ,METAL DOORS AND FRAMES                                                                    ,CURTIS PARTITION CORPORATION,505 Eighth Avenue,New York                      ,NY,10018          ,646-315-6719                  ,917-578-0857   ,Ajay Narula                   ,Y,N,N,Y,09/02/2019
08700  ,HARDWARE                                                                                  ,CURTIS PARTITION CORPORATION,505 Eighth Avenue,New York                      ,NY,10018          ,646-315-6719                  ,917-578-0857   ,Ajay Narula                   ,Y,N,N,Y,09/02/2019
09250  ,GYPSUM BOARD                                                                              ,CURTIS PARTITION CORPORATION,505 Eighth Avenue,New York                      ,NY,10018          ,646-315-6719                  ,917-578-0857   ,Ajay Narula                   ,Y,N,N,Y,09/02/2019
09510  ,ACOUSTICAL TREATMENT                                                                      ,CURTIS PARTITION CORPORATION,505 Eighth Avenue,New York                      ,NY,10018          ,646-315-6719                  ,917-578-0857   ,Ajay Narula                   ,Y,N,N,Y,09/02/2019
86070  ,REALTOR/REAL ESTATE/APPRAISER                                                             ,"CUSHMAN & WAKEFIELD, INC.",1290 Avenue of the Americas - 7th Floor,NEW YORK                      ,NY,10104          ,212-318-9737                  ,,David Lebenstein              ,N,N,N,Y,05/20/2019
86040  ,INFORMATION TECHNOLOGY CONSULTANT                                                         ,"CUSTOM COMPUTER SPECIALISTS, INC.",70 SUFFOLK COURT,HAUPPAUGE                     ,NY,11788          ,631-864-6699                  ,,Gregory G. Galdi              ,N,N,N,Y,04/19/2019
07410  ,METAL ROOFS AND WALL PANELS                                                               ,"CUSTOM EXTERIOR SYSTEMS, INC.",12 Orange Turnpike,SLOATSBURG                    ,NY,10974          ,845-753-8070                  ,,Alica Fuksova                 ,N,N,N,Y,01/29/2019
07600  ,FLASHING AND SHEET METAL                                                                  ,"CUSTOM EXTERIOR SYSTEMS, INC.",12 Orange Turnpike,SLOATSBURG                    ,NY,10974          ,845-753-8070                  ,,Alica Fuksova                 ,N,N,N,Y,01/29/2019
33000  ,ARCH & ENG - FULL SERVICE FIRM                                                            ,"D & B Engineers and Architects, P.C. ",330 Crossways Park Drive,WOODBURY                      ,NY,11797-2015     ,914-467-5300                  ,516-368-4394   ,Robert J. DeGiorgio           ,N,N,N,Y,09/21/2020
35000  ,CONSTRUCTION MANAGERS                                                                     ,"D & B Engineers and Architects, P.C. ",330 Crossways Park Drive,WOODBURY                      ,NY,11797-2015     ,914-467-5300                  ,516-368-4394   ,Robert J. DeGiorgio           ,N,N,N,Y,09/21/2020
86030  ,ENVIRONMENTAL CONSULTING SERVICES                                                         ,"D & B Engineers and Architects, P.C. ",330 Crossways Park Drive,WOODBURY                      ,NY,11797-2015     ,914-467-5300                  ,516-368-4394   ,Robert J. DeGiorgio           ,N,N,N,Y,09/21/2020
09650  ,RESILIENT FLOORING                                                                        ,"D & S RESTORATION, INC.",20 CALIFORNIA AVENUE,PATERSON                      ,NJ,07503          ,973-345-8020                  ,973-390-7404   ,DUSKO JOLDZIC                 ,N,N,N,Y,08/21/2018
13285  ,HAZMAT REMED - ASBESTOS ABTMNT & REM                                                      ,"D & S RESTORATION, INC.",20 CALIFORNIA AVENUE,PATERSON                      ,NJ,07503          ,973-345-8020                  ,973-390-7404   ,DUSKO JOLDZIC                 ,N,N,N,Y,08/21/2018
04200  ,UNIT MASONRY                                                                              ,"D'APRILE, INC.",1907 BELLMORE AVENUE,BELLMORE                      ,NY,11710          ,516-783-1393                  ,,Lydia DiBiase                 ,N,N,N,Y,02/16/2019
04400  ,STONE                                                                                     ,"D'APRILE, INC.",1907 BELLMORE AVENUE,BELLMORE                      ,NY,11710          ,516-783-1393                  ,,Lydia DiBiase                 ,N,N,N,Y,02/16/2019
04900  ,MASONRY RESTORATION/CLEANING                                                              ,"D'APRILE, INC.",1907 BELLMORE AVENUE,BELLMORE                      ,NY,11710          ,516-783-1393                  ,,Lydia DiBiase                 ,N,N,N,Y,02/16/2019
07100  ,WATERPROOFING                                                                             ,"D-Star Waterproofers, Inc.",365 Babylon Turnpike,Roosevelt                     ,NY,11575          ,516-378-6660                  ,,Antonio W. Ramirez            ,Y,N,N,N,06/03/2019
09400  ,TERRAZZO                                                                                  ,"D. MAGNAN & CO., INC.",32 CORTLANDT STREET,MOUNT VERNON                  ,NY,10550          ,914-664-0700                  ,,MICHAEL MAGNAN                ,N,N,N,Y,10/23/2018
80070  ,ELECTRICAL SUPPLIES                                                                       ,D.B.E. ELECTRIC CORPORATION,989 Rockaway Avenue,Valley Strteam                ,NY,11581          ,516-825-7878                  ,917-488-1983   ,JANAK SHAH                    ,Y,N,N,Y,11/19/2018
15400  ,PLUMBING                                                                                  ,D.D.S. MECHANICAL PLUMBING & HEATING CORPORATION,38-32 54 Street,Woodside                      ,NY,11377          ,718-545-5564                  ,718-545-5565   ,Diego Lomanto                 ,N,N,N,Y,04/19/2020
15700  ,"HEATING, VENTIL & AIR CONDITION                                                           ",D.D.S. MECHANICAL PLUMBING & HEATING CORPORATION,38-32 54 Street,Woodside                      ,NY,11377          ,718-545-5564                  ,718-545-5565   ,Diego Lomanto                 ,N,N,N,Y,04/19/2020
36000  ,CONSTR RELATED SRVCS (USE W/PROFILE CODES)                                                ,DACK Consulting Solutions Inc,2  William Street,White Plains                  ,NY,10601          ,914-686-7102                  ,,Aleksandra Chancy             ,Y,Y,N,Y,08/25/2019
37023  ,COST ESTIMATING                                                                           ,DACK Consulting Solutions Inc,2  William Street,White Plains                  ,NY,10601          ,914-686-7102                  ,,Aleksandra Chancy             ,Y,Y,N,Y,08/25/2019
86080  ,SECURITY SERVICES - WATCHGUARD/PATROL                                                     ,dag security service inc.,2815 beverley road,brooklyn                      ,NY,11226          ,718-484-3920                  ,646-623-0934   ,segun gabriel                 ,Y,N,N,Y,03/10/2019
32025  ,ENGINEERING - M/E/P FULL SERVICE FIRM                                                     ,"DAGHER ENGINEERING, PLLC",29 Broadway,New York                      ,NY,10006          ,212-480-2591                  ,212-480-2654   ,Hope Bowman                   ,N,N,N,Y,03/30/2021
04900  ,MASONRY RESTORATION/CLEANING                                                              ,"Danco Builders Group, INC",50  Carnation ave,Floral Park                   ,NY,11001          ,516-488-3600                  ,917-488-4226   ,Paramvir Singh                ,Y,N,N,N,02/22/2021
16810  ,DIVISION 16 - SURVEILLANCE CAMERAS/CAT 5/CAT 6                                            ,"KLK Electric, Inc.",4368B Victory Blvd,Staten Island                 ,NY,10314          ,718-412-8166                  ,732-552-7274   ,Rishi Bunsee                  ,Y,N,N,N,10/05/2019
13800  ,BUILDING AUTOMATION SYS & CNTRLS                                                          ,KND Licensed Electrical Contracting & Services Corp.,120 B  Brook Avenue,DEER PARK                     ,NY,11729          ,631-242-1708                  ,,Kristine DeNapoli             ,N,Y,N,Y,01/27/2019
13850  ,DETECTION & ALARM                                                                         ,KND Licensed Electrical Contracting & Services Corp.,120 B  Brook Avenue,DEER PARK                     ,NY,11729          ,631-242-1708                  ,,Kristine DeNapoli             ,N,Y,N,Y,01/27/2019
16000  ,DIVISION 16 - ELECTRICAL                                                                  ,KND Licensed Electrical Contracting & Services Corp.,120 B  Brook Avenue,DEER PARK                     ,NY,11729          ,631-242-1708                  ,,Kristine DeNapoli             ,N,Y,N,Y,01/27/2019
16810  ,DIVISION 16 - SURVEILLANCE CAMERAS/CAT 5/CAT 6                                            ,KND Licensed Electrical Contracting & Services Corp.,120 B  Brook Avenue,DEER PARK                     ,NY,11729          ,631-242-1708                  ,,Kristine DeNapoli             ,N,Y,N,Y,01/27/2019
06100  ,ROUGH CARPENTRY                                                                           ,"KNIGHT CONSTRUCTION, INC.",1664 Wallace Avenue,Bronx                         ,NY,10462          ,718-828-0438                  ,718-828-0466   ,Raul Javier                   ,Y,N,N,N,06/08/2018
06200  ,FINISH CARPENTRY                                                                          ,"KNIGHT CONSTRUCTION, INC.",1664 Wallace Avenue,Bronx                         ,NY,10462          ,718-828-0438                  ,718-828-0466   ,Raul Javier                   ,Y,N,N,N,06/08/2018
09510  ,ACOUSTICAL TREATMENT                                                                      ,"KNIGHT CONSTRUCTION, INC.",1664 Wallace Avenue,Bronx                         ,NY,10462          ,718-828-0438                  ,718-828-0466   ,Raul Javier                   ,Y,N,N,N,06/08/2018
09650  ,RESILIENT FLOORING                                                                        ,"KNIGHT CONSTRUCTION, INC.",1664 Wallace Avenue,Bronx                         ,NY,10462          ,718-828-0438                  ,718-828-0466   ,Raul Javier                   ,Y,N,N,N,06/08/2018
09900  ,PAINTING                                                                                  ,"KNIGHT CONSTRUCTION, INC.",1664 Wallace Avenue,Bronx                         ,NY,10462          ,718-828-0438                  ,718-828-0466   ,Raul Javier                   ,Y,N,N,N,06/08/2018
02120  ,OFF-SITE TRANSPORT & DISPOSAL                                                             ,knr management inc,168-31 106 ave,jamaica                       ,NY,11433          ,917-655-9436                  ,929-372-7292   ,kumar ramlogan                ,Y,N,N,N,12/19/2020
02300  ,EARTHWORK                                                                                 ,knr management inc,168-31 106 ave,jamaica                       ,NY,11433          ,917-655-9436                  ,929-372-7292   ,kumar ramlogan                ,Y,N,N,N,12/19/2020
13285  ,HAZMAT REMED - ASBESTOS ABTMNT & REM                                                      ,KNS SERVICES CORP.,48-14  58TH LANE ,WOODSIDE                      ,NY,11377          ,718-662-4940                  ,,KENAL E. ORTEGA               ,Y,N,N,N,02/06/2021
02700  ,PAVING AND SURFACING                                                                      ,"KO JIN INDUSTRIES INC,",69-11 197 street,Freshmeadows                  ,NY,11365          ,718-264-3295                  ,347-838-0277   ,CHOA PO LIOU                  ,Y,N,N,Y,02/28/2019
02820  ,FENCES AND GATES                                                                          ,"KO JIN INDUSTRIES INC,",69-11 197 street,Freshmeadows                  ,NY,11365          ,718-264-3295                  ,347-838-0277   ,CHOA PO LIOU                  ,Y,N,N,Y,02/28/2019
02882  ,"SPORTS FIELDS, PLAY FIELDS                                                                ","KO JIN INDUSTRIES INC,",69-11 197 street,Freshmeadows                  ,NY,11365          ,718-264-3295                  ,347-838-0277   ,CHOA PO LIOU                  ,Y,N,N,Y,02/28/2019
03300  ,CAST-IN PLACE CONCRETE                                                                    ,"KO JIN INDUSTRIES INC,",69-11 197 street,Freshmeadows                  ,NY,11365          ,718-264-3295                  ,347-838-0277   ,CHOA PO LIOU                  ,Y,N,N,Y,02/28/2019
05700  ,ORNAMENTAL METAL                                                                          ,"KO JIN INDUSTRIES INC,",69-11 197 street,Freshmeadows                  ,NY,11365          ,718-264-3295                  ,347-838-0277   ,CHOA PO LIOU                  ,Y,N,N,Y,02/28/2019
03400  ,PRECAST CONCRETE                                                                          ,KOEHLER MASONRY CORP.,108 Allen Blvd.,"Farmingdale,                  ",NY,11735          ,631-694-4720                  ,516-286-1564   ,David Koehler                 ,N,N,N,Y,10/18/2019
10290  ,PEST CONTROL                                                                              ,Kojo's Pest Elimination Company LLC,1576 BOSTON ROAD,BRONX                         ,NY,10460          ,718-861-5656                  ,,Nana Kojo Ayesu               ,Y,N,N,N,02/03/2020
04200  ,UNIT MASONRY                                                                              ,"KOKO Contracting, Inc.",516 ROUTE 25A,Mount Sinai                   ,NY,11766          ,631-928-0220                  ,631-793-5130   ,GEORGE KOKOLAKIS              ,N,N,N,Y,10/17/2019
04900  ,MASONRY RESTORATION/CLEANING                                                              ,"KOKO Contracting, Inc.",516 ROUTE 25A,Mount Sinai                   ,NY,11766          ,631-928-0220                  ,631-793-5130   ,GEORGE KOKOLAKIS              ,N,N,N,Y,10/17/2019
07500  ,MEMBRANE ROOFING                                                                          ,"KOKO Contracting, Inc.",516 ROUTE 25A,Mount Sinai                   ,NY,11766          ,631-928-0220                  ,631-793-5130   ,GEORGE KOKOLAKIS              ,N,N,N,Y,10/17/2019
07600  ,FLASHING AND SHEET METAL                                                                  ,"KOKO Contracting, Inc.",516 ROUTE 25A,Mount Sinai                   ,NY,11766          ,631-928-0220                  ,631-793-5130   ,GEORGE KOKOLAKIS              ,N,N,N,Y,10/17/2019
99945  ,GENL CONTR - EXTERIOR MODIFICATIONS                                                       ,"KOKO Contracting, Inc.",516 ROUTE 25A,Mount Sinai                   ,NY,11766          ,631-928-0220                  ,631-793-5130   ,GEORGE KOKOLAKIS              ,N,N,N,Y,10/17/2019
11480  ,ATHLT/RECREAT/THERAP EQUIPMENT                                                            ,"Kompan, Inc.",821 Grand Ave Pkwy,Pflugerville                  ,TX,78660          ,737-402-7153                  ,,Nick McCollin                 ,N,N,N,N,05/11/2021
13900  ,FIRE SUPPRESSION/SUPERV SYSTEMS                                                           ,KORDUN CONSTRUCTION CORP.,69-41 76th Street,Middle Village                ,NY,11779          ,718-326-3277                  ,718-755-7003   ,Milena Turkalj                ,N,N,N,Y,04/03/2021
15300  ,FIRE PROTECTION                                                                           ,KORDUN CONSTRUCTION CORP.,69-41 76th Street,Middle Village                ,NY,11779          ,718-326-3277                  ,718-755-7003   ,Milena Turkalj                ,N,N,N,Y,04/03/2021
15400  ,PLUMBING                                                                                  ,KORDUN CONSTRUCTION CORP.,69-41 76th Street,Middle Village                ,NY,11779          ,718-326-3277                  ,718-755-7003   ,Milena Turkalj                ,N,N,N,Y,04/03/2021
15500  ,HEAT GENERATION                                                                           ,KORDUN CONSTRUCTION CORP.,69-41 76th Street,Middle Village                ,NY,11779          ,718-326-3277                  ,718-755-7003   ,Milena Turkalj                ,N,N,N,Y,04/03/2021
15700  ,"HEATING, VENTIL & AIR CONDITION                                                           ",KORDUN CONSTRUCTION CORP.,69-41 76th Street,Middle Village                ,NY,11779          ,718-326-3277                  ,718-755-7003   ,Milena Turkalj                ,N,N,N,Y,04/03/2021
02220  ,DEMOLITION                                                                                ,Kore Contracting Corp.,100 Brighton 11th Street,Brooklyn                      ,NY,11235          ,718-648-8000                  ,,Narinder Kaur                 ,Y,N,N,Y,08/18/2019
02820  ,FENCES AND GATES                                                                          ,Kore Contracting Corp.,100 Brighton 11th Street,Brooklyn                      ,NY,11235          ,718-648-8000                  ,,Narinder Kaur                 ,Y,N,N,Y,08/18/2019
03300  ,CAST-IN PLACE CONCRETE                                                                    ,Kore Contracting Corp.,100 Brighton 11th Street,Brooklyn                      ,NY,11235          ,718-648-8000                  ,,Narinder Kaur                 ,Y,N,N,Y,08/18/2019
04900  ,MASONRY RESTORATION/CLEANING                                                              ,Kore Contracting Corp.,100 Brighton 11th Street,Brooklyn                      ,NY,11235          ,718-648-8000                  ,,Narinder Kaur                 ,Y,N,N,Y,08/18/2019
07100  ,WATERPROOFING                                                                             ,Kore Contracting Corp.,100 Brighton 11th Street,Brooklyn                      ,NY,11235          ,718-648-8000                  ,,Narinder Kaur                 ,Y,N,N,Y,08/18/2019
09900  ,PAINTING                                                                                  ,Kore Contracting Corp.,100 Brighton 11th Street,Brooklyn                      ,NY,11235          ,718-648-8000                  ,,Narinder Kaur                 ,Y,N,N,Y,08/18/2019
80010  ,AUDIO/VISUAL EQUIPMENT                                                                    ,"KORG USA, INC.",316 SOUTH SERVICE ROAD,MELVILLE                      ,NY,11747          ,631-390-6526                  ,518-859-0012   ,Chris Norris                  ,N,N,N,Y,10/20/2018
80170  ,MUSICAL EQUIPMENT                                                                         ,"KORG USA, INC.",316 SOUTH SERVICE ROAD,MELVILLE                      ,NY,11747          ,631-390-6526                  ,518-859-0012   ,Chris Norris                  ,N,N,N,Y,10/20/2018
09700  ,WALL COVERING                                                                             ,"KP ORG INC OF QUALITY PAINTING, INC",1850 Pond Road,Ronkonkoma                    ,NY,11779          ,631-285-7112                  ,,Lorine Seewald                ,N,N,N,N,12/06/2019
